product_id,title,category,merchant_id,cluster_label
1,apple iphone 8 plus 64gb silver,Mobile Phones,1,Apple iPhone 8 Plus 64GB
2,apple iphone 8 plus 64 gb spacegrau,Mobile Phones,2,Apple iPhone 8 Plus 64GB
3,apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,Mobile Phones,3,Apple iPhone 8 Plus 64GB
4,apple iphone 8 plus 64gb space grey,Mobile Phones,4,Apple iPhone 8 Plus 64GB
5,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Mobile Phones,5,Apple iPhone 8 Plus 64GB
6,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Mobile Phones,6,Apple iPhone 8 Plus 64GB
7,apple iphone 8 plus 64 gb space grey,Mobile Phones,7,Apple iPhone 8 Plus 64GB
8,apple iphone 8 plus 64gb space grey,Mobile Phones,8,Apple iPhone 8 Plus 64GB
9,apple iphone 8 plus 64gb space grey,Mobile Phones,9,Apple iPhone 8 Plus 64GB
10,apple iphone 8 plus 64gb space grey,Mobile Phones,10,Apple iPhone 8 Plus 64GB
11,apple iphone 8 plus 5.5 single sim 4g 64gb silver,Mobile Phones,11,Apple iPhone 8 Plus 64GB
12,sim free iphone 8 plus 64gb by apple space grey,Mobile Phones,12,Apple iPhone 8 Plus 64GB
13,apple iphone 8 plus 64gb gold smartphone,Mobile Phones,13,Apple iPhone 8 Plus 64GB
14,apple iphone 8 plus 5.5 single sim 4g 64gb grey,Mobile Phones,14,Apple iPhone 8 Plus 64GB
15,apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,Mobile Phones,15,Apple iPhone 8 Plus 64GB
16,apple iphone 8 plus 64 gb silver,Mobile Phones,16,Apple iPhone 8 Plus 64GB
17,apple iphone 8 plus 64gb silver unlocked,Mobile Phones,17,Apple iPhone 8 Plus 64GB
18,apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,Mobile Phones,18,Apple iPhone 8 Plus 64GB
19,iphone 8 plus sim free water dust resistant 64gb silver by apple,Mobile Phones,19,Apple iPhone 8 Plus 64GB
20,iphone 8 plus 64gb space grey,Mobile Phones,20,Apple iPhone 8 Plus 64GB
21,apple iphone 8 plus,Mobile Phones,21,Apple iPhone 8 Plus 64GB
22,sim free iphone 8 plus 64gb mobile phone space grey,Mobile Phones,22,Apple iPhone 8 Plus 64GB
23,apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock,Mobile Phones,23,Apple iPhone 8 Plus 64GB
24,apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold,Mobile Phones,3,Apple iPhone 7 Plus 32GB
25,apple iphone 7 plus 32 gb rose gold,Mobile Phones,2,Apple iPhone 7 Plus 32GB
26,apple iphone 7 plus 32gb rose gold,Mobile Phones,4,Apple iPhone 7 Plus 32GB
27,apple iphone 7 plus 32gb silver,Mobile Phones,1,Apple iPhone 7 Plus 32GB
28,apple iphone 7 plus silver 32gb 4g unlocked sim free,Mobile Phones,5,Apple iPhone 7 Plus 32GB
29,apple iphone 7 plus silver 32gb 4g unlocked sim free,Mobile Phones,6,Apple iPhone 7 Plus 32GB
30,apple iphone 7 plus jet black 32 gb,Mobile Phones,7,Apple iPhone 7 Plus 32GB
31,apple iphone 7 plus 32gb silver,Mobile Phones,9,Apple iPhone 7 Plus 32GB
32,apple iphone 7 plus 32gb black,Mobile Phones,8,Apple iPhone 7 Plus 32GB
33,apple iphone 7 plus 32gb black,Mobile Phones,10,Apple iPhone 7 Plus 32GB
34,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver,Mobile Phones,11,Apple iPhone 7 Plus 32GB
35,iphone 7 plus 32gb black,Mobile Phones,24,Apple iPhone 7 Plus 32GB
36,sim free iphone 7 plus 32gb by apple black,Mobile Phones,12,Apple iPhone 7 Plus 32GB
37,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold,Mobile Phones,14,Apple iPhone 7 Plus 32GB
38,apple iphone 7 plus 32gb schwarz smartphone,Mobile Phones,13,Apple iPhone 7 Plus 32GB
39,apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free,Mobile Phones,15,Apple iPhone 7 Plus 32GB
40,sim free iphone 7 plus 32gb mobile phone silver,Mobile Phones,22,Apple iPhone 7 Plus 32GB
41,apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,Mobile Phones,18,Apple iPhone 7 Plus 32GB
42,apple iphone 7 plus 32gb rosegold 3 brand new,Mobile Phones,25,Apple iPhone 7 Plus 32GB
43,iphone 7 plus 32gb silver,Mobile Phones,20,Apple iPhone 7 Plus 32GB
44,apple iphone 7 plus,Mobile Phones,21,Apple iPhone 7 Plus 32GB
45,iphone 7 plus 32gb rose gold mnqq2b/a wc01,Mobile Phones,26,Apple iPhone 7 Plus 32GB
46,apple grade b iphone 7 32gb gold handset only,Mobile Phones,5,Apple iPhone 7 32GB
47,grade b apple iphone 7 32gb silver handset only,Mobile Phones,6,Apple iPhone 7 32GB
48,apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black,Mobile Phones,3,Apple iPhone 7 32GB
49,apple iphone 7 32 gb matt schwarz,Mobile Phones,2,Apple iPhone 7 32GB
50,iphone 7 32gb gold,Mobile Phones,4,Apple iPhone 7 32GB
51,apple iphone 7 black 32 gb,Mobile Phones,7,Apple iPhone 7 32GB
52,apple iphone 7 32gb silver,Mobile Phones,9,Apple iPhone 7 32GB
53,apple iphone 7 32gb black,Mobile Phones,27,Apple iPhone 7 32GB
54,apple iphone 7 32gb silver unlocked,Mobile Phones,8,Apple iPhone 7 32GB
55,apple iphone 7 32gb rose gold unlocked,Mobile Phones,10,Apple iPhone 7 32GB
56,apple iphone 7 32gb schwarz smartphone,Mobile Phones,13,Apple iPhone 7 32GB
57,apple iphone 7 32gb gold,Mobile Phones,1,Apple iPhone 7 32GB
58,apple iphone 7 black 4.7 32gb 4g unlocked sim free,Mobile Phones,15,Apple iPhone 7 32GB
59,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah gold,Mobile Phones,11,Apple iPhone 7 32GB
60,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah black,Mobile Phones,14,Apple iPhone 7 32GB
61,sim free iphone 7 32gb mobile phone jet black,Mobile Phones,22,Apple iPhone 7 32GB
62,apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black,Mobile Phones,18,Apple iPhone 7 32GB
63,apple iphone 7 32gb jet black,Mobile Phones,17,Apple iPhone 7 32GB
64,apple iphone 7 32gb silver unlocked brand new,Mobile Phones,25,Apple iPhone 7 32GB
65,iphone 7 32gb black,Mobile Phones,20,Apple iPhone 7 32GB
66,apple iphone 7,Mobile Phones,21,Apple iPhone 7 32GB
67,iphone 7 32gb black mn8x2b/a wc01,Mobile Phones,26,Apple iPhone 7 32GB
68,startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black,Mobile Phones,17,Apple iPhone 8 64GB
69,startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black,Mobile Phones,3,Apple iPhone 8 64GB
70,grade b apple iphone 8 64gb gold handset only,Mobile Phones,5,Apple iPhone 8 64GB
71,grade b apple iphone 8 64gb gold handset only,Mobile Phones,6,Apple iPhone 8 64GB
72,apple iphone 8 64gb space grey,Mobile Phones,1,Apple iPhone 8 64GB
73,apple iphone 8 smartphone 64gb 4.7 zoll spacegrau,Mobile Phones,28,Apple iPhone 8 64GB
74,apple iphone 8 64 gb silber,Mobile Phones,2,Apple iPhone 8 64GB
75,apple iphone 8 64gb schwarz smartphone,Mobile Phones,13,Apple iPhone 8 64GB
76,apple iphone 8 space grey 4.7 64gb 4g unlocked sim free,Mobile Phones,15,Apple iPhone 8 64GB
77,apple iphone 8 64 gb space grey,Mobile Phones,7,Apple iPhone 8 64GB
78,apple iphone 8 64gb gold,Mobile Phones,9,Apple iPhone 8 64GB
79,apple iphone 8 64gb gold,Mobile Phones,4,Apple iPhone 8 64GB
80,apple iphone 8 64gb space grey,Mobile Phones,8,Apple iPhone 8 64GB
81,apple iphone 8 64gb space grey,Mobile Phones,10,Apple iPhone 8 64GB
82,apple iphone 8 4.7 single sim 4g 64gb silver,Mobile Phones,11,Apple iPhone 8 64GB
83,apple iphone 8 4.7 single sim 4g 64gb grey,Mobile Phones,14,Apple iPhone 8 64GB
84,apple iphone 8 64 gb spaceship grey,Mobile Phones,16,Apple iPhone 8 64GB
85,apple iphone 8 4.7 inch multi touch retina hd display 64gb wlan wwa,Mobile Phones,18,Apple iPhone 8 64GB
86,iphone 8 64gb space grey,Mobile Phones,20,Apple iPhone 8 64GB
87,apple iphone 8,Mobile Phones,21,Apple iPhone 8 64GB
88,sim free iphone 8 64gb mobile phone space grey,Mobile Phones,22,Apple iPhone 8 64GB
89,apple mq6g2b/a 4.7 iphone 8 64gb space grey in stock uk spec stock,Mobile Phones,23,Apple iPhone 8 64GB
90,apple iphone x 64gb space grey,Mobile Phones,1,Apple iPhone X 64GB
91,apple mqac2b/a iphone x 64gb 4.8 12mp sim free smartphone in space grey,Mobile Phones,3,Apple iPhone X 64GB
92,apple iphone x 64 gb spacegrau,Mobile Phones,2,Apple iPhone X 64GB
93,apple iphone x 14.7 cm 5.8 64 gb single sim 4g grey,Mobile Phones,14,Apple iPhone X 64GB
